"Designator,""Footprint"",""Mid X"",""Mid Y"",""Ref X"",""Ref Y"",""Pad X"",""Pad Y"",""Layer"",""Rotation"",""Comment"""
"U25,""OPTO_FOD817BS_ReflowSoldering"",""750mil"",""2106.25mil"",""750mil"",""2106.25mil"",""572.835mil"",""2156.25mil"",""T"",""270.00"",""OPTO_FOD817BS"""
"U22,""DCDC_SIP_1W_19.5x9.8_h12.5"",""12.5mil"",""1425mil"",""12.5mil"",""1125mil"",""12.5mil"",""1125mil"",""T"",""90.00"",""DCDC_+12V_-12V_1W_R12P12D"""
"U19,""VSSOP_008_E0,5_L3,1MM"",""210mil"",""925mil"",""210mil"",""925mil"",""271.024mil"",""895.472mil"",""T"",""90.00"",""PCA9306DCUT"""
"U17,""SOT223"",""3036.553mil"",""1518.456mil"",""3036.553mil"",""1518.456mil"",""3129.073mil"",""1642.456mil"",""T"",""90.00"",""LD1117STR-E"""
"U16,""SOT223"",""7426mil"",""2117.52mil"",""7426mil"",""2117.52mil"",""7550mil"",""2025mil"",""T"",""0.00"",""LD1117STR-E"""
"U15,""OPTO_FOD817BS_ReflowSoldering"",""3671.4mil"",""2057.576mil"",""3671.4mil"",""2057.576mil"",""3494.235mil"",""2107.576mil"",""T"",""270.00"",""OPTO_FOD817BS"""
"U14,""OPTO_FOD817BS_ReflowSoldering"",""3671.4mil"",""1807.576mil"",""3671.4mil"",""1807.576mil"",""3494.235mil"",""1857.576mil"",""T"",""270.00"",""OPTO_FOD817BS"""
"U13,""QFP_048_E0,50_7X7MM"",""1475mil"",""525mil"",""1475mil"",""525mil"",""1583.267mil"",""687.25mil"",""T"",""270.00"",""DP83640TVV"""
"U12,""eTSSOP_014_E0,65_L4,4MM"",""9490mil"",""2794.055mil"",""9490mil"",""2794.055mil"",""9603.189mil"",""2717.283mil"",""T"",""90.00"",""LM3150"""
"U11,""SOT23_5L"",""1206.25mil"",""1981.25mil"",""1206.25mil"",""1981.25mil"",""1251.526mil"",""1943.848mil"",""T"",""0.00"",""MCP6L91T-E/OT"""
"U10,""QFP_144_E0,50_20X20MM"",""2371.339mil"",""938.7mil"",""2371.339mil"",""938.7mil"",""2715.827mil"",""1356.023mil"",""T"",""270.00"",""MCF52259CAG80"""
"U9,""SOT23_6L"",""2324.988mil"",""1806.25mil"",""2325mil"",""1806.25mil"",""2279.724mil"",""1843.652mil"",""T"",""180.00"",""25AA02E48T-I/OT"""
"U8,""SOT353"",""1500.016mil"",""1706.25mil"",""1500mil"",""1706.25mil"",""1464.6mil"",""1731.841mil"",""T"",""180.00"",""74HC1G125GW"""
